eval/step,eval/avg_score
0.0,0.03137124594968815
2000000.0,0.14495608544364824
4000000.0,0.17703974189294874
6000000.0,0.1967699430606203
8000000.0,0.22971645759575707
10000000.0,0.23231587390597244
12000000.0,0.25511264992413196
14000000.0,0.2568641865115096
16000000.0,0.24651979479459882
18000000.0,0.2436045058474043
20000000.0,0.2561458248096151
22000000.0,0.26168672299095214
24000000.0,0.2670483137138219
26000000.0,0.2609245918525248
28000000.0,0.24823790228130882
30000000.0,0.254374632793047
32000000.0,0.2659285504719733
34000000.0,0.27732321280668
36000000.0,0.27774146904020225
38000000.0,0.26822997778777397
40000000.0,0.2804584671330033
42000000.0,0.2631291408708409
44000000.0,0.26851383768840653
46000000.0,0.26709463278347617
48000000.0,0.26814687722406827
50000000.0,0.27906976440352177
52000000.0,0.2621053781265711
54000000.0,0.2685138258695661
56000000.0,0.27244378381842854
58000000.0,0.2797403787126059
60000000.0,0.27449814458536775
62000000.0,0.27649251330154273
64000000.0,0.2720851231417489
66000000.0,0.27387906746617546
68000000.0,0.2707249961647515
70000000.0,0.263874365262502
72000000.0,0.26821180645198117
74000000.0,0.2692642915385855
76000000.0,0.26199184262354985
78000000.0,0.2664505067128544
80000000.0,0.25813453258567187
82000000.0,0.2581531058318337
84000000.0,0.26318243975438876
86000000.0,0.2687139710144867
88000000.0,0.2609740116931573
90000000.0,0.26341364449453974
92000000.0,0.2612342010667159
94000000.0,0.26180318226108673
96000000.0,0.2741074180087137
98000000.0,0.2637572493030207
100000000.0,0.26244842269339813
